episode,reward,length
539,0.0,4
540,0.0,2
541,0.0,4
542,0.0,3
543,0.0,13
544,0.0,7
545,0.0,6
546,0.0,7
547,0.0,2
548,0.0,6
549,0.0,4
550,0.0,1
551,0.0,2
552,0.0,3
553,0.0,6
554,0.0,1
555,0.0,6
556,0.0,3
557,0.0,2
558,0.0,13
559,0.0,2
560,0.0,5
561,0.0,2
562,0.0,1
563,0.0,9
564,0.0,3
565,0.0,2
566,0.0,6
567,0.0,4
568,0.0,1
569,0.0,4
570,0.0,2
571,0.0,8
572,0.0,10
573,0.0,9
574,0.0,5
575,0.0,3
576,0.0,1
577,0.0,3
578,0.0,6
579,0.0,2
580,0.0,13
581,0.0,3
582,0.0,2
583,0.0,8
584,0.0,9
585,0.0,2
586,0.0,38
587,0.0,2
588,0.0,15
589,0.0,6
590,0.0,5
591,0.0,22
592,0.0,1
593,0.0,1
594,0.0,2
595,0.0,3
596,0.0,1
597,0.0,4
598,0.0,1
599,0.0,2
600,0.0,5
601,0.0,7
602,0.0,6
603,0.0,2
604,0.0,2
605,0.0,2
606,0.0,10
607,0.0,5
608,0.0,1
609,0.0,2
610,0.0,8
611,0.0,6
612,0.0,3
613,0.0,1
614,0.0,14
615,0.0,3
616,0.0,21
617,0.0,4
618,0.0,4
619,0.0,4
620,0.0,7
621,0.0,1
622,0.0,2
623,0.0,8
624,0.0,2
625,0.0,14
626,0.0,2
627,0.0,1
628,0.0,12
629,0.0,3
630,0.0,8
631,0.0,6
632,0.0,9
633,0.0,3
634,0.0,13
635,0.0,3
636,0.0,6
637,0.0,12
638,0.0,23
639,0.0,2
640,0.0,1
641,0.996484,1
642,0.0,3
643,0.0,4
644,0.0,2
645,0.0,2
646,0.0,7
647,0.0,37
648,0.0,3
649,0.0,3
650,0.0,1
651,0.0,7
652,0.0,5
653,0.0,40
654,0.0,3
655,0.0,2
656,0.0,2
657,0.0,5
658,0.0,8
659,0.0,17
660,0.0,6
661,0.0,2
662,0.0,11
663,0.0,4
664,0.0,19
665,0.0,39
666,0.978906,6
667,0.0,15
668,0.0,9
669,0.0,4
670,0.961328,11
671,0.0,2
672,0.0,21
673,0.0,2
674,0.0,1
675,0.0,6
676,0.0,23
677,0.0,42
678,0.0,3
679,0.0,7
680,0.0,1
681,0.0,6
682,0.0,49
683,0.971875,8
684,0.0,1
685,0.0,2
686,0.0,3
687,0.0,29
688,0.0,24
689,0.0,5
690,0.0,17
691,0.0,12
692,0.0,19
693,0.0,7
694,0.0,2
695,0.0,1
696,0.0,6
697,0.0,3
698,0.0,17
699,0.0,1
700,0.0,15
701,0.0,9
702,0.0,16
703,0.0,3
704,0.0,5
